a cappella	86793,106285
cut down	19898,94708,97921,98630,98739,99086,99102
cut glass	16724
cut into	99035
cut through	102046
cute	12331,16088,74730,74834
cuteness	25548,25551,27158
cuticle	9481,9535,28325,28342,28346,30061,30078
cutlery	16726,16731,17006,22894,23862
cutlet	40634,42042
cutout	16728,16729,16730
cutting	1756,1757,1762,1780,1848,1893,1895,1898,2407,2905,4770,4786,5489,16247,18582,23822,34819,45630,46053,61926,78465,78481,80982,81638
cuttingly	108827
cuttlefish	9912,41479
cyan	26958,75995
cyanide	71141,71145
cybersex	66917
cyclist	49061
cyclone	54046,69504
cylinder	2664,16745,16746,17215,22211,66018,66211
cylindrical	85509
cymbal	16751
cymbalist	49062
cynic	49063,49064
cynical	88038
cynically	108308
cynicism	39908
dachshund	10584,10585
dad	49072
daddy	49072
daffodil	58579
daft	85667
dagger	16760,17023,19018,23508,35945
daiquiri	42364
dairy	16763,20240
dairy farm	16763
dairyman	49074,49075
daisy	56281
dalmatian	10713,49079,91961
dam	180,2799,6512,15336,16768,17456,20679,23042,23807,64741,99900
damage	1979,2595,3770,11369,31423,37531,38782,39227,39229,62880,93855
damages	62804
damn	27848,34772,77748,77750,96772,106419
damned	42567,77748,82098,108351
damp	69581,88534,94519,94521,95450,103472
dampen	93655,94519,94520,94521,94523,94527,103472
damply	108352
dampness	69581
damsel	13495,49081
dance	2108,2109,37120,39374,43854,43855,101077,101952,103026
dance floor	14549,16777,17030
dance hall	14549,16777,17030
dance music	37333
danceable	85363
dancer	49083,49084
dancing	2108,2645
dandelion	56700
dandruff	46056,67911
danger	4045,26378,27330,38655,45604,69608,69609
dangerousness	26378
dankness	69582
dapper	79387
daredevil	49091,75336
dark	100,25583,26905,32075,32078,45618,66641,69734,73051,73963,75288,75304,75476,75972,76279,76970,78909,80310,80329,85755
dark glasses	23719
darken	94125,94131,100218,103322
darkened	75483,83222
darkening	1300,75484,80854
darkish	76280
darkly	107698,107699
darkness	23719,26905,27020,27029,32075,45358,45618,66641,69734
darkroom	14476,16780
dart	1626,2478,14985,16782,16783,18701,101988,101989,102825
dart board	16784
dartboard	16784
dashboard	14888,16389,16785,18132,23280
dashingly	108398
data file	34276,34277
database	34962
date	5001,37970,41376,44511,49098,72822,73013,73014,73018,73114,95669,96192,96194,104894,104896
daughter	44939,49100
dauntingly	108353
dauntless	75335
dawdler	49103
dawn	414,38716,73064,73586,95201,95544,105464
day	69308,72834,72876,72993,73003,73039,73274,73275,73498
day off	72883
daybreak	73064
daycare	6128
daydream	30321,31020,100721,104571
daydreamer	49106
daylight	54048,73039
daytime	73039
daze	30599,30603,39734,103099,103325
dazed	76427,78862
dazedly	108354
dazzlingly	106764
dead end	14965,16683,66803
dead weight	16808,27276,31328
deadbolt	15047
deadening	1291,81484
deadline	73115
deadwood	27747,62136
deafen	94153,103464,103465
deafening	82113
dear	6221,12517,48244,50588,76512,79185,82166,86323,106732,106733
dearness	26115,27869,27872
debatable	77287,77353,84798
debate	5938,32811,37730,37943,37949,38261,96097,96374,96542,96544
debater	49130
debilitating	81549
debilitative	81550
debonair	75970,84953
debrief	96625
debriefing	38144
debris	25156,26189,71315
debunk	96713
decadence	69093
decaf	42405
decaffeinate	104325
decal	4731,16817
decapitate	100381
decapitation	1068,5906
decathlon	39416,39495
decay	1895,26348,54051,63736,63737,63738,69719,93609,94565,95341
deceitful	80821,80823
deceitfully	108460
deceive	96718,105306
deceiver	49134
deceleration	1612,27447,73632
deceptive	80824,84909
deceptively	106765
deceptiveness	26470,26499
decibel	65161
decide	96015,96021,96023,96034
decided	77942
decimal point	35860
decipherable	81821
decision	730,4411,6035,26417,31086,31354,34439,38545,38546
decisively	108355,108356,108358
decisiveness	25879,26405,26417,26688
deck	16818,16819,16820,16982,17910,17925,21032,23154,23928,24301,24699,42621,99587,100930,106165
deck chair	16821,17358
declaim	96979,97640
declarable	73914
declaration	34152,34291,35437,35438,35444,35445,35461,35466,35481,35483,35487,37567,38053,38104,38258
declarative	34746,65681,77863,92176
declaratory	77863
declare	96579,96586,97238,97290,97445,97447,103984,104692
declared	77865,79221
declarer	48042,48906
decode	3115,97365
decompose	93610,93613,94565
decomposition	5484,32168,54051,63742,63743,69722
decongestant	16829
deconstruction	31984
decor	19177
decorate	99851,100911,105175,106165
decorated	74077
decoration	1228,1231,1239,4600,16830,17651,18119,19177,20449,31793,35340,36234
decorative	80083
decoratively	106737
decorativeness	25630
decoy	14508,17833,49117,105316
decree	3704,6019,6035,6040,31963,34412,34440,34446,34508,96102,97522
deep	22426,30613,45872,46057,46601,73584,74732,76246,76474,77881,77893,78988,79216,80714,80779,81703,82476,82490,84550,87719,88606,108406,108407,108408
deep down	106923
deep freeze	66780,94452
deep space	45050
deepfreeze	16833
deeply	107457,108406
deer	12365,12535,12576,12582,12591,12594,12598,12601,40626
deerhound	10603
deface	94034,100278
defacement	1981
defamation	6178,35408,38240
defamatory	80469
defame	96688
defeatist	49142
defecate	92998
defecation	63747
defect	25582,27716,27940,27954,27962,39227,69215,69216,105346
defective	80089,82945,83864
defectively	109783
defense attorney	49144
defense team	42960
defenseless	74693,84624,88389,108410
defensively	108411,108412
defer	96825,105622
deferential	85209
defiant	77911
defibrillator	16839
defilement	26588,69386
define	97194,105471,105884,106099
definition	25642,35520
deflation	1736,1773,63749,63943
defog	94383
defoliation	1327,63750
deforestation	6418,69493
deform	93269,94930,94936,98867,99245,100449
deformation	1987,3810,38879,39295,39297
deformed	86068
degenerate	51638,82697,93088
degrader	49129
dehumidify	93645
dehydrate	93620,93621,93627
dehydration	63753,66934,69586
deity	33008,46725,46731,46761
dejected	77951
delectability	27116
delectable	78108,87639
deli	16848
deliberation	25432,25433,25448,27450,27451,31098,31115,31153,37693,37740
delicacy	25293,25450,25542,26165,26301,26303,26304,26586,26850,27347,27683,30935,33566,39989,40214,42179
delicate	24342,77963,77982,78186,84954,85853,86649,87953
delicatessen	16848,40212
delicious	27116,41216,84173,87639
deliciously	107848,108984
deliciousness	26167,27116
delight	31313,39622,39627,39823,39824,39844,98376,101579,101587
delighted	78805,84162
delightedly	108362
delightful	84173
delirious	87611,88506
deliriously	108422,108423
delirium	34793,39623,68818,68841
delivery boy	49151
deliveryman	49151
delouse	95213
deluge	39151,54098,54350,65544,93654,96271,100150
delusion	3820,3826,23062,31609,31619,31620,31625,35578,68750
demand	309,4441,5376,27945,28046,31601,37960,37968,37987,37989,63756,69137,96289,97477,97478,97741,97742,105553
demander	49153
demanding	77988
demandingly	109804
demean	101509
demeaning	78214
demeanor	26594
demented	85668
democratize	105114,105115
demolish	97814,100805,101508
demolition	2756,4617,5484,6340,38757
demonize	95310
demonstrability	25883
demonstrate	95868,96580,103259,105064
demonstration	2583,2584,5974,5980,35009,35461,36215,38143,44378
demonstrativeness	25263
demonstrator	29980,49161,49162,49163
demoralization	1290,39880,66601
demoralize	95683,101575,105325
demote	104488
demotion	916,1295
den	15122,16675,16858,17646,32059,43623,45344,45356,45358,45402,46081,46156
deniable	78039
denier	49164,63362,64361
denim	16859,19269
denominator	65276
denounce	38228,96666,96668,96669,104998
denouncement	38212,38228
denseness	26813,27590,30399,30405,32908
dent	784,25588,33811,53890,66239,98865
dental care	3322
dental floss	16863
dentist	49171
dentistry	32291,32293
denunciation	38159,38212,38214,38215,38220,38228
deny	96558,96560,96561,97738,103565,103566,103570
deodorant	16868
deodorize	103155
deoxygenate	104335
depart	103,101729,102549,102581,102849,104417,105714
department store	16869,23567
departure	103,153,168,3705,26086,38754,38923
dependence	66733,67048
dependency	17845,45039,66733,67048
depersonalize	94511
depict	97332,100967,100972
depiction	4558,16849,31007,38041
depictive	85129
deposit box	15452,22345
deposition	964,1826,35483,38003,38457,63762
depository	15705,16873,23567
depot	14035,16873,21480,21898,23567,23568,24049
depraved	77475
depress	93693,100397,100398,101575,102368
depressant	22582,87127
depressed	76986,77954,80758,87733
depressing	75972,81578
depressingly	106768
depression	465,25282,39859,39878,39883,43008,45960,46320,46601,46620,65866,66192,68828,68898,69336,69502
depressive	49176,81578
depressurize	94587
deprivation	5166,5833,27729,27956,69358
deprived	84505
depth	27613,27816,30225,45041,46620,69094
deputy	49177,49178,49179,49180
derby	15140
derisive	85215
derisively	108375
derma	28346
dermatitis	67874
dermatologist	49182
derogative	79023
derogatory	79023
derriere	29946
descend	94285,102354,105381,106101
descent	178,1588,26725,38907,43153,45081,46062,65735
describable	79236
describe	95812,97234,97332,100438
description	4570,31005,31361,31389,34312,3,35511,35627,37567,38039,38154
descriptive	78102,78104,87537
descriptively	108376
descriptor	31283,33319
desecrate	96777,105274
desensitization	63767
desensitize	93925,103097
desert	26135,45057,45062,46539,80934,95647,105346
deserved	81624
deserving	88752
deservingness	26135
design	4704,5800,16882,16883,18513,19177,23067,30325,30820,31646,32043,33819,40279,43019,96019,96073,100705,100723,100729,100732,101294
designer	47996,48980,49190,50408
designing	4704,74731
desire	3850,4321,25294,25355,25555,26267,26827,26834,31125,32875,39582,39589,39594,39596,39600,39605,39658,66924,101628,101633,101635
desired	78107,88406
desirous	78926
desk	16885,19624,22572,25142
desk clerk	49191
desk officer	49192
desktop	14467,16885,16887,25142,45703,45773
despair	39861,39883,39901,39902,69320,101558
despairing	80850
despairingly	108379
desperado	49194
desperate	39902,49195,75421,77636,78004,80850,85188,85599
desperately	39749,106704,109841
desperation	25439,39883,39902,69320
despicable	3785,80313
despicably	108429
despise	101387
despond	101559
despondent	80851
dessert	40321,40338
dessertspoon	65512
destination	31963,32040,34755,35724,45287,46641
destiny	2913,31963,38583,38734,38736,38737,46729,69255
destruct	100648,100650
destructibility	27360
destruction	533,1004,1010,1045,2756,27360,28691,38740,38757,69731
destructively	108431
destructiveness	27970
detachable	74811
detached	74801,77046,77173,79893,85896
detail	31252,34954,37716,42616,43792,44612,65722,95927,97190
detect	103286
detectable	81150,83831
detective	49198,49199
detergent	16082,16898,23105,72712,85938
deteriorate	93088,93607
deterioration	6221,63771,69723
determination	675,681,730,26405,26418,31086,31354,37990
determinative	30639,33469,77852
determine	96015,96025,96029,96031,96329,97021,97027,97148
determined	74364,83024,85187,86000,87249
determinedly	107740,108105
determiner	30639,30640,33469,33471,35018
detest	101385
detestably	108432
detonate	94098,94100
detour	3815,15437,16901,102848
detox	16902,93024
detoxification	3536,3537
detoxify	93024,95072
detractive	88468
detrimentally	108433
devastating	77265,77269,85212
devastation	1004,2756,4880,38761,39729,69726
development	1166,1225,1807,4802,37371,39244,45204,63773,63774,63898,68994
device	774,4681,14251,16905,16906,16907,17519,18311,19563,19908,29721,30276,33720,37372
devise	34402,62649,63527,100701,100784,103646
dew	71181
dewdrop	71182
dewy	88530
diabetes	67342
diabetic	49209,88507,91970
diagnose	95780,95781
diagnosis	681,32318,32322
diagonal	36057,43935,43948,66235,66236,80879,83665
diagram	16912,18513,22469,100999
dial	16119,16913,16914,16915,16916,22598,95916,96446
dialect	15283,37399,37565,37567,37682,37809
dialectically	107988
dialogue	33682,37058,37693,37705,37770
diameter	27658,44297,66054
diarrhea	68727
diary	16931,33870,33952,34239,34245
diatribe	38214,38215
dice	16937,98109,98730
dicey	85598
dictate	31520,34664,35033,35097,37876,95704,96250,105361
dictation	5377,33623,33799,34455,37825,37863
dictator	48075,49215,49216
dictatorial	78024,78390,83919,89648
dictatorially	108442
diction	36281,37402,37406,37686,37785
dictionary	33967,33968,33979
diesel	16949,22832
difference	25851,25857,25860,25869,25897,27055,30920,37930,37936,38923,65255,65989
differentiation	4391,30919,64240
diffusion	1575,1807,27586,38743,63777
dig	591,4769,25589,28555,35633,45209,95530,98575,99035,99040,99042,104578
dig up	99057
digest	34706,34708,93611,93784,94559,94954,94955,95541,95883,98411
digested	80583
digester	16961
digestibility	27126
digestible	80581
digestion	5484,30944,63778,63779
digestive	71185,91967
digging	4769
digit	29974,64707,65330
digital	74508,89651,89652
digital watch	16973
digitalization	3585,31185
digitally	107056,107057
digression	1497,1710,34745,38589
dike	180,10888,16768,17356,17456,48465,100464
dilapidate	100833
dilapidated	77813
dilapidation	63781,69728
dilate	94095,97189
dilation	1793,37717,39118
dildo	16980
dilemma	30606,35714
dill	41779,61013
dill pickle	41759,41764
diluted	78231,82529
dim	26965,75487,75529,76447,78361,80849,94123,94130,94139,94140,103322,103323
dime	16982,63369
dimly	107737,107738,109146
dimmed	75529
dimmer	16986
dimness	25647,25649,25650,26890,66651
dimpled	92555
dimwit	49222
dine	98260,98261
diner	14924,16987,16992,49223
dinette	16988
ding	25588,39014,103417
dingdong	103417,106831
dingo	10745
dining	4237,4246
dining room	16988,16993,16994,22005,22077
dinky	16990,74835,81742
dinner	40074,40079,40083,43859
dinner plate	17002
dinner table	16996,17004
dinnertime	73045
dinnerware	17006,23862
diorama	20937
diphtheria	17173,67363
diplomacy	26303,26304,26558,37771
diplomatic	78246,89655
dipstick	17017,22920
dire	74970,77636
direct	29970,73786,78256,78268,78270,78290,78293,78296,79064,81888,84442,96075,96090,96261,96262,97349,98182,98184,101082,101190,102149,102256,102508,104668,106570
direction	508,4114,5377,5743,20294,30228,30697,32864,34455,35025,35722,35734,37870,45756,65812
directional	38370,74998,89657,89659
directive	34664,37873,74998
directness	25263,26454,26698,26699
directory	33961,33982,33987,33991,33997,33998,34070,34168,34172,34175,38310
direfully	108446
dirt	35390,38159,45728,69385,71246,71295,81161
dirt bike	24362
dirtily	108447,108448
dirtiness	2536,25647,26142,26588,26625,26626,69330,69384
dirty	75636,76339,76368,76378,77476,79321,80946,81808,81823,82902,84751,85916,100200
disability	26153,39295,69646
disaccord	106004
disaffected	77282
disagree	35358,96510,106004
disagreeable	74280,77135
disagreeableness	25348,25998
disagreeably	108449
disagreement	25855,25897,27055,37778,37928,37930,37943,66634
disappoint	101503
disappointed	87283
disappointedly	108450
disappointing	85710
disappointingly	108451
disappointment	234,32073,39871,39879,39894
disapproval	4412,32882,35357,35358,39689
disapprove	95909,96519
disapproving	79532
disarrangement	69397
disarray	2756,26218,26588,26593,30595,93943
disarticulate	98950
disassembly	1008,4617
disassociation	68965,68987
disaster area	45217
disastrous	79824
disbelieving	77616
disc	17043,17050,19932,21180,24411,66073
disc jockey	49239
discernment	26559,30226,30714,30727,30925,31195,39750
disciple	49236
disciplined	77333,84707,84768
disclaim	96299,96303
disclose	97090,103203
disco	17030,37328,101973
discolor	93966,93970,93975
discoloration	1296,1302,25599,39263
discolored	76238
discomfort	30602,39650,39888,39893,69123
disconcerted	76962
disconcerting	84182
disconcertingly	108453
disconcertment	39720
disconnectedness	25944,68969
discontent	39886,39889,39893,77281,101585
discontented	77281
discontentedly	108454
discontentedness	39886,39889
discontentment	39886,39887,39889,39893
discordance	5933,27054,38650
discordant	77081,80485
discount	1774,38869,62711,62753,62977,96495,104082
discount store	17031
discourage	96793,96969,101597
discouragement	5459,38321,39879,39883,39905
discouragingly	108550
discourse	33296,33907,33916,35514,37415,37701,37718,38258,38271,96550,97232,97554
discourteous	77579,77590
discourteously	107781
discover	95575,95812,96127,97090,100722,103160,103286,103917
discovered	83025,85766
discovery	105,4763,19563,30326,31208,31631,38104,38110,38111
discredit	69088,95958,95972,96691
discreditable	85151
discreetness	26304,30233
discretional	78031
discriminating	78312,78316,83819
discrimination	2066,5849,5857,30918
discriminator	49220
discriminatory	74140,75532,78321,79533
discuss	96548,97554
discussion	35139,37693,37718,37729,37747,37776,37949,44244
disdain	35407,39690,96478,101387
disdainful	84647,85213
disdainfulness	26545,39937
disease	67092
disembodied	77527
disenchant	101589
disenchantment	6403,32073
disenfranchisement	5777
disfiguration	1981,25577
disfigure	100278
disfigurement	1981,25577
disgruntled	77283
disgruntlement	39887,39889
disguise	3830,5312,5316,14511,17033,25515,34797,103303
disguised	83587
disgust	25590,26586,39688,39691,39692,39694,39695,101546,103488
disgusted	84167
disgusting	4832,83107
disgustingness	26002,27121,39695
dish	1142,2124,16377,16594,17034,17035,24411,24640,39990,40205,52723,65480,93876,98323
dish towel	17039
disharmonize	95419
disharmony	27055
dishcloth	17038
dishearten	101598
disheartening	78818
disheartenment	38322,39883,39905
disheveled	87798
dishonest	77474,80820,80833,87200
dishonestly	108460
dishonesty	2536,3800,26436,26464,26469,26480,26493,35578
dishrag	17038
dishtowel	17039
dishwasher	17040,49238
dishwashing	1194,1196
dishwashing liquid	17041
dishwater	71201
disillusion	32073,101589
disillusioned	78810
disinclination	25359,25360,39683,39688
disinclined	81185
disinfectant	17042,24107,85924
disinfection	3583
disinformation	34951
disingenuousness	3800,26479,26499
disinheritance	5166
disinterested	83690
disinterestedly	108466
disinterestedness	32894
disjointedness	68972
disjunction	1885,1886,68969
disk drive	17049,18684
diskette	17050
dislike	32882,39682,39688,39695,39889,39928,101396
dismal	75972
dismantle	93536,100811,100831
dismay	30602,39720,39785,39800,39817,39871,39905,101424,101575
dismayed	74218
dismember	100385,100387
dismemberment	39294
dismiss	94268,96495,96498,96934,104505,104794
dismissal	916,1001,1077,5484,6027,35231,38102,38457
dismissible	82569
dismissive	74198,81476
disobedience	5983,26414,26656
disorder	1807,2073,2756,4862,66585,66996,69392,93943,101340
disordered	76593,83374,83380
disorganization	2750,5484,69397
disorganize	104652
disorganized	83379
disorientate	103308
disorientation	30596,31632
disoriented	83454,83455
disparage	96685
disparager	49200
disparaging	79023
dispassionately	108474
dispassionateness	25282
dispatch	195,508,1034,5489,27440,35195,38099,99110,102273,104353,104874,105253
dispatcher	49240,52925
dispersal	1807,5499
dispersed	77019
dispiritedly	108476
dispiriting	75972,78818
displacement	910,967,1530,1614,3705,37531,39352,63785,63786
display	2581,17055,17056,20345,34798,36216,36258,36281,38105,38309,43019,44632,103215,103235,105122
displease	101586
displeased	84164
displeasure	39879,39886,39889,39893,39962
disproportional	76697
disproportionately	108478,108480
disprove	95880
disputable	77287,77353
disputative	77363
dispute	5938,5942,6014,25375,32811,37936,37943,37947,37949,37951,38261,39778,96382,96788
disquieted	88004
disrepair	69718
disreputability	26468
disreputably	108484
disrepute	69088
disrespect	26689,32920,35389,39937,96001,104752
disrespectfully	108487
disrupt	95152,95349,96395
disruption	1878,2751,6366,38929,66610
disruptive	84838
diss	35398,96695
dissatisfaction	39886,39889,39893
dissatisfied	77283
dissatisfy	101583
dissension	37930,37933,38650,66634
dissent	5971,34504,37930,37931,38084,96509,96510,105063
dissident	46909,49244,74199,83489
dissociate	93612,96094,104628
dissociation	1882,63788,68965
dissociative	78376
dissolvable	86881
dissolving	39263,63790,92556
dissonance	27053,27055,30779,66634
dissuade	96361
distant	76459,76460,76473,76499,85171
distillery	17066,22009,25076
distinct	76391,77942,78349,85634,85897
distinguishable	77247,85634
distorted	81276,86068,87152
distract	101340,101466
distracted	74827,85668
distractedly	108419
distraction	920,2545,30598,30707,39785
distraught	74260
distress	322,341,39653,39656,39785,39812,39817,39866,39869,39902,68432,69273,101498
distress signal	35811,35812
distressed	79036,88004,88005,88013
distressful	80624
distressfully	108490
distressfulness	27326
distressing	80282,80624
distressingly	106999
distributed	77013
distrust	26583,26584,30668,30669,95973
distrustful	77617,88037
distrustfully	108493
distrustfulness	26583
disturbance	1624,2754,4862,5965,6366,27962,39268,39277,66610,67160,68894
disturbed	82884,83444,85668,88004
disturbingly	108495
diuretic	17076
diva	51893
dive	1589,2182,2193,5952,14621,18912,19323,29156,38911,102313,102314,102339
diver	10355,49253,49254
divers	85636
diverse	85635,85636
diversified	78366
diversity	25784,25785,25860,25862,25863,25869,25897,30377
dividing	35922,75130,77154
divine	46761,47723,48728,80259,80569,80570,80572,81029,85573,99063,103065
diving board	17084,18220
divinity	26231,26369,32795,33008,40285,46725,46731
division	1887,1953,4393,4394,23671,24406,31504,32757,37935,43546,43613,43651,43652,43663,43664,43665,43776
divisive	77083
divorce	6078,37368,104628,104920
divulge	97090
divulgement	38109,38116
divulgence	38109,38116,39313
dizzily	106772
dizziness	68730
dizzy	85948,88508,95220
do	35318,36142,39369,92678,92816,100644,100755,101096,101694,105069,105237,105244,105277,105503,105753,105954
dock	10998,11005,17089,17090,17091,17288,19525,20025,21229,21805,41194,45482,45568,45576,59426,99013,100307,102949,103575,104052
dockhand	52953
docking	148
dockside	45640
doctor	2121,35309,35321,49262,49263,49264,93027,93863,94985
docudrama	34842
document	17092,25875,31247,33803,34076,34116,34242,34286,63455,95875,97405
documentary	28102,34842,85134,90907
documentation	690,34076,34680,35024
doe	9434,12517,12535,43282
dog	10553,10554,10571,10688,10745,14157,21045,24185,40794,46205,48482,49268,49803,102517
dog collar	15987,16090,17095
dog days	73432
dog food	41637
dog show	2570
doggy	10554,10558
doghouse	19003,19369,32883
dogma	31931,35738
dogmatic	75547,91610,91976
dogmatism	32908,32913
dogmatist	49273
dogsled	17098,102187
dogwood	61093,61094
doily	17102
doll	17103,17372,46857,49080
dollar	33450,35908,63385,63413,64752
dollar sign	35907,35908
dollhouse	17104,17105
dolphin	10467,10469,10475,13419
dolt	53027
dome	17113,17114,20213,23148,23469,25190,29843,66056
domino	2459,15591,17115,17116,17117
dominoes	2459
donkey	6472,12159,12333,12334,12337,12341,36224
donut	40527,40536
doodad	17101,17891
doodle	22522,33883,100998
doohickey	17101
doomed	42574,74320,75841,79827,82098
door	17121,17122,17123,17134,17500,17577,18298,22176,22972,28042,28253
doorbell	17124,18635
doorframe	17125,17134
doorhandle	17127
doorjamb	17126,19257
doorkeeper	49289,49290,53495
doorknob	17127
doorknocker	19463
doorplate	17131,20491
doorpost	17125,17126,18297,19257
doorstep	17132,17134
doorway	17134,17577,18298,18720,22176,24699
dopamine	71210
doppelganger	31631,46670
dork	50465
dorm room	17140
dormitory	14779,14998,17139,17140,18612,18974,19805,24392
dosage	65525
dossier	34242
dot	13963,21483,28352,35826,35860,36049,43304,43322,66276,95088,97386,99390,105841
dotted	75559,84055
dotted line	35789
double	575,4051,21257,22053,31460,31932,46670,49293,53025,78971,81704,82682,86586,86587,86588,86603,93791,99573,100155,101198,102833,103983,106776,108502,108503
double bass	14667
double bed	17145
double chin	30151
double door	17152
double entendre	26220,34775
double standard	35127
double take	4359
doubleheader	2294
doublespeak	35605
doubt	25892,26584,30602,30666,30669,32031,32032,39805,95970,95971
doubter	47841,52669
doubtful	75827,84799,86005
doubtfully	108505
doubtfulness	25892,30666
doubting	88039
dough	42004,63343
doughnut	40406,40527,40531,40532,66074
doughy	80604
dove	8912,9033,9035,9047,9048,36225,40578,49298
dowel	17167,21299,24030
downbeat	37434
downdraft	54469
downer	6307,22582
downfield	88215,106876
downhearted	77954
downheartedness	39879,39883
downhill	39462,46062,46077,88173,108507,108508
downplay	95121,96664
downpour	54350
downstairs	18512,29719,88224,106856
downstream	88227,106875
downtime	72809
downtown	45144,45155,45180,88229,107563
downtrodden	79828
downwind	81792,106859,106861
dozen	65356,86355
drably	108509
drafting	3071,4712,4734,5122,32571,34016
draftsman	49305,49306
drafty	81773
drag	474,475,2843,4224,17180,22542,28167,30626,30627,33755,37454,54364,94283,96418,98420,98659,99788,99794,102074,102812,103029,103041,105787
dragging	474,78651,79436
dragonfly	11635,11637
drainage ditch	17185,19221
dramatic	78428,81135,82210,89663
dramatically	107192,107568,107978
dramatics	390,4472,21409,26039,37036
dramatization	4549,4713
dramatize	97191,97337,101038
drape	16712,17190,26759,100242,100245,100612
drapery	4600,16712,17191
drastically	106604
draw	474,476,821,2446,2506,2782,2843,2854,17192,17193,38857,46079,49316,93111,93280,93555,94217,94716,94931,95361,95915,96172,97332,97787,97979,98420,98487,98650,98651,99293,99765,100049,100226,100438,100744,100745,100982,100983,101324,101748,102485,102961,103017,103048,103948,104041,104879,105555,106129
drawer	17196,18372,49305,49315
drawers	14982,15227,17197,24610
drawing	474,479,1781,1922,2482,2502,4683,4734,5370,17198,17933,21186,23067,31007,37020
drawing board	17177
drawl	37683,97300
dread	39785,39794,74970,101412
dreaded	74970
dreadful	74970,80280,84148
dreadfully	106602,108470
dreadfulness	26008,26088
dreadlock	28424
dream	2111,30321,30679,31015,31016,31125,31819,39583,39594,69197,100721,103112
dream up	100707
dreamer	20373,49318,49491,50334
dreamily	108510
dreaminess	39767
dreamland	30313
dreamless	88020
dreamworld	30313
dreamy	74828,78863
dreariness	28165
drench	93646,95035,98268,106279
drenching	1317
dress	4182,14244,14390,14983,16150,17212,18765,20389,20795,20831,22700,24717,25514,26595,27795,79788,79790,92816,92844,92848,92854,92859,92866,93039,95110,95282,98765,98783,99094,99321,99851,100927,102696
dress code	35122
dress rehearsal	4538
dress shop	15126
dress up	17651,92847,92848,92885,94038,100879
dressed	76520,76531,79578,84997
dresser	15929,16568,16696,17214,17222,49319,49320
dressing	3522,4179,4182,4183,17216,17645,22201,32024,39301,39302,40810,41668,41807
dressing room	17219,17222,19793
dressmaking	3072,3123
dressy	84102
dried	79967,88560
dried fruit	41296
drift off	92712
drill	3158,4523,4524,4528,4539,12900,14403,14436,15170,15175,17229,95598,95599,95610,95611,99740
drilling	4677,4772
drink	2521,3794,4233,4255,42156,42162,42171,42172,42279,42305,42351,42423,42522,45749,46084,96202,98270,98275,98280,98298
drinkable	4255,42156,78441
drinking	3794,3795,4255
drinking glass	18355,22305
drinking water	42522
drip	17238,17244,34772,39015,39289,39313,100607,102874
dripping	39015,39153,88536,88543,109476
drive	113,416,1474,1480,1537,2825,2855,4024,17049,17245,17246,17247,17253,18314,22176,24799,26272,38316,45608,66904,97519,98133,98134,98330,99041,99563,99564,100051,100067,100079,100104,100757,102142,102143,102145,102188,102803,102806,104522,104527,104985,106130
drivel	29248,29250,34785,34808,34816,93142
driven	74364,82745,88376
driver	17251,20309,34606,42926,49329,49330,49331
driveshaft	17252
driveway	17253
driving	1430,2855,5959,21248,78509,78856
driving school	43999
drizzle	54351,99389,106207
droop	46601,66243,94899,102433,105999
drooping	39598,80905,87683,87854
droopingly	108511
drop	1594,17263,17266,17530,20923,24082,27706,38650,38902,45354,46006,46146,65521,66221,92917,93088,94391,94540,94727,95318,95651,97125,97896,98739,99967,100086,100607,102382,102387,102435,103825,104508,104794,105998
drop-down menu	34193
dropkick	606,99362,99368
droplet	65522
dropping	1596,17270,88179
droppings	71297
drowsily	108512
drowsiness	66884
drowsy	74829,74948
drug	16291,17273,20123,20740,21987,42162,93049,98429
drugstore	17053,17277,32326
drum	13490,13493,13500,13503,14665,15190,16746,17278,17279,19381,20456,23071,23863,24031,39016,66217,95609,101188,103389
drum roll	39042
drumbeat	6147,35822,39042,39063
drumhead	17281,83152
drummer	49341
drumming	2707,39089
drumstick	17284,40588,40590
drunk	49342,49344,78443,79097
drunkenly	107650
drunkenness	3794,66821,67058
dry	22501,49346,78455,78766,80455,80563,81048,84089,84090,84519,86853,87125,87483,88097,88553,88571,88574,88576,93658,93663
dry cleaners	16078,24852
dry cleaning	1175
dry mouth	69593
dryer	17289,24535
dryly	107870
dryness	25282,26518,69585
drywall	21371,24814
dub	97210,97527,104487
dubbing	17298,38491
duck	7987,9236,9239,9241,9243,9249,9254,9268,9274,9276,10360,14127,17299,22364,40579,64416,96530,101803,102341,102378
duckling	9244,40580
duct tape	17303
duet	2610,37208,42740,43814,65343
duffel bag	17306,19418,22543
dumbfound	95684
dumbly	108513,108514
dumbness	6331,27043,30399,30405
dumpling	40328,40972,42079
dumpster	17320
dumpy	79477,87591,89665
dung	71297,92999,95060
dunghill	42655,69372
dunk	452,38911,98384,100408,100518
duplex	17326,17327,75223,86589,95526
duplicate	15612,17328,17597,22053,82326,85621,93791,101198,101201,105702
duplication	5149,17328,33221
duplicator	17329,21183
durability	27407,27869
duration	27397,45429,72858,72859
duress	28113
dusk	73067,94132
duskiness	27020,66651
dust	16239,23891,45728,71219,71220,71315,98657,98704,99390,100613
dust cloud	54034
dustbin	14341,24856
dustiness	69388
dustpan	17338,65481
dusty	76349,83478
dutch oven	17340,17341
